country,year,activity,activity_group,time_label,hour,minutes_since_midnight,value
Belgium,2000,Travel to/from work/study,Commute,From 04:00 to 04:09,4.0,240.0,0.07
Belgium,2000,Travel to/from work/study,Commute,From 04:10 to 04:19,4.166666666666667,250.0,0.09
Belgium,2000,Travel to/from work/study,Commute,From 04:20 to 04:29,4.333333333333333,260.0,0.15
Belgium,2000,Travel to/from work/study,Commute,From 04:30 to 04:39,4.5,270.0,0.35
Belgium,2000,Travel to/from work/study,Commute,From 04:40 to 04:49,4.666666666666667,280.0,0.34
Belgium,2000,Travel to/from work/study,Commute,From 04:50 to 04:59,4.833333333333333,290.0,0.35
Belgium,2000,Travel to/from work/study,Commute,From 05:00 to 05:09,5.0,300.0,0.34
Belgium,2000,Travel to/from work/study,Commute,From 05:10 to 05:19,5.166666666666667,310.0,0.47
Belgium,2000,Travel to/from work/study,Commute,From 05:20 to 05:29,5.333333333333333,320.0,0.64
Belgium,2000,Travel to/from work/study,Commute,From 05:30 to 05:39,5.5,330.0,0.95
Belgium,2000,Travel to/from work/study,Commute,From 05:40 to 05:49,5.666666666666667,340.0,1.26
Belgium,2000,Travel to/from work/study,Commute,From 05:50 to 05:59,5.833333333333333,350.0,1.22
Belgium,2000,Travel to/from work/study,Commute,From 06:00 to 06:09,6.0,360.0,1.06
Belgium,2000,Travel to/from work/study,Commute,From 06:10 to 06:19,6.166666666666667,370.0,1.35
Belgium,2000,Travel to/from work/study,Commute,From 06:20 to 06:29,6.333333333333333,380.0,1.5
Belgium,2000,Travel to/from work/study,Commute,From 06:30 to 06:39,6.5,390.0,2.19
Belgium,2000,Travel to/from work/study,Commute,From 06:40 to 06:49,6.666666666666667,400.0,2.93
Belgium,2000,Travel to/from work/study,Commute,From 06:50 to 06:59,6.833333333333333,410.0,3.19
Belgium,2000,Travel to/from work/study,Commute,From 07:00 to 07:09,7.0,420.0,3.78
Belgium,2000,Travel to/from work/study,Commute,From 07:10 to 07:19,7.166666666666667,430.0,4.34
Belgium,2000,Travel to/from work/study,Commute,From 07:20 to 07:29,7.333333333333333,440.0,5.44
Belgium,2000,Travel to/from work/study,Commute,From 07:30 to 07:39,7.5,450.0,6.14
Belgium,2000,Travel to/from work/study,Commute,From 07:40 to 07:49,7.666666666666667,460.0,6.76
Belgium,2000,Travel to/from work/study,Commute,From 07:50 to 07:59,7.833333333333333,470.0,7.39
Belgium,2000,Travel to/from work/study,Commute,From 08:00 to 08:09,8.0,480.0,5.52
Belgium,2000,Travel to/from work/study,Commute,From 08:10 to 08:19,8.166666666666666,490.0,5.58
Belgium,2000,Travel to/from work/study,Commute,From 08:20 to 08:29,8.333333333333334,500.0,5.76
Belgium,2000,Travel to/from work/study,Commute,From 08:30 to 08:39,8.5,510.0,4.76
Belgium,2000,Travel to/from work/study,Commute,From 08:40 to 08:49,8.666666666666666,520.0,3.95
Belgium,2000,Travel to/from work/study,Commute,From 08:50 to 08:59,8.833333333333334,530.0,3.63
Belgium,2000,Travel to/from work/study,Commute,From 09:00 to 09:09,9.0,540.0,1.98
Belgium,2000,Travel to/from work/study,Commute,From 09:10 to 09:19,9.166666666666666,550.0,1.78
Belgium,2000,Travel to/from work/study,Commute,From 09:20 to 09:29,9.333333333333334,560.0,1.55
Belgium,2000,Travel to/from work/study,Commute,From 09:30 to 09:39,9.5,570.0,1.28
Belgium,2000,Travel to/from work/study,Commute,From 09:40 to 09:49,9.666666666666666,580.0,1.24
Belgium,2000,Travel to/from work/study,Commute,From 09:50 to 09:59,9.833333333333334,590.0,1.23
Belgium,2000,Travel to/from work/study,Commute,From 10:00 to 10:09,10.0,600.0,0.85
Belgium,2000,Travel to/from work/study,Commute,From 10:10 to 10:19,10.166666666666666,610.0,0.71
Belgium,2000,Travel to/from work/study,Commute,From 10:20 to 10:29,10.333333333333334,620.0,0.77
Belgium,2000,Travel to/from work/study,Commute,From 10:30 to 10:39,10.5,630.0,0.71
Belgium,2000,Travel to/from work/study,Commute,From 10:40 to 10:49,10.666666666666666,640.0,0.53
Belgium,2000,Travel to/from work/study,Commute,From 10:50 to 10:59,10.833333333333334,650.0,0.62
Belgium,2000,Travel to/from work/study,Commute,From 11:00 to 11:09,11.0,660.0,0.47
Belgium,2000,Travel to/from work/study,Commute,From 11:10 to 11:19,11.166666666666666,670.0,0.51
Belgium,2000,Travel to/from work/study,Commute,From 11:20 to 11:29,11.333333333333334,680.0,0.47
Belgium,2000,Travel to/from work/study,Commute,From 11:30 to 11:39,11.5,690.0,0.64
Belgium,2000,Travel to/from work/study,Commute,From 11:40 to 11:49,11.666666666666666,700.0,0.76
Belgium,2000,Travel to/from work/study,Commute,From 11:50 to 11:59,11.833333333333334,710.0,0.88
Belgium,2000,Travel to/from work/study,Commute,From 12:00 to 12:09,12.0,720.0,1.77
Belgium,2000,Travel to/from work/study,Commute,From 12:10 to 12:19,12.166666666666666,730.0,1.4
Belgium,2000,Travel to/from work/study,Commute,From 12:20 to 12:29,12.333333333333334,740.0,1.3
Belgium,2000,Travel to/from work/study,Commute,From 12:30 to 12:39,12.5,750.0,1.82
Belgium,2000,Travel to/from work/study,Commute,From 12:40 to 12:49,12.666666666666666,760.0,1.93
Belgium,2000,Travel to/from work/study,Commute,From 12:50 to 12:59,12.833333333333334,770.0,2.41
Belgium,2000,Travel to/from work/study,Commute,From 13:00 to 13:09,13.0,780.0,2.16
Belgium,2000,Travel to/from work/study,Commute,From 13:10 to 13:19,13.166666666666666,790.0,1.76
Belgium,2000,Travel to/from work/study,Commute,From 13:20 to 13:29,13.333333333333334,800.0,1.78
Belgium,2000,Travel to/from work/study,Commute,From 13:30 to 13:39,13.5,810.0,1.69
Belgium,2000,Travel to/from work/study,Commute,From 13:40 to 13:49,13.666666666666666,820.0,1.89
Belgium,2000,Travel to/from work/study,Commute,From 13:50 to 13:59,13.833333333333334,830.0,1.6
Belgium,2000,Travel to/from work/study,Commute,From 14:00 to 14:09,14.0,840.0,1.67
Belgium,2000,Travel to/from work/study,Commute,From 14:10 to 14:19,14.166666666666666,850.0,1.67
Belgium,2000,Travel to/from work/study,Commute,From 14:20 to 14:29,14.333333333333334,860.0,1.5
Belgium,2000,Travel to/from work/study,Commute,From 14:30 to 14:39,14.5,870.0,1.57
Belgium,2000,Travel to/from work/study,Commute,From 14:40 to 14:49,14.666666666666666,880.0,1.4
Belgium,2000,Travel to/from work/study,Commute,From 14:50 to 14:59,14.833333333333334,890.0,1.29
Belgium,2000,Travel to/from work/study,Commute,From 15:00 to 15:09,15.0,900.0,1.2
Belgium,2000,Travel to/from work/study,Commute,From 15:10 to 15:19,15.166666666666666,910.0,1.28
Belgium,2000,Travel to/from work/study,Commute,From 15:20 to 15:29,15.333333333333334,920.0,1.35
Belgium,2000,Travel to/from work/study,Commute,From 15:30 to 15:39,15.5,930.0,1.56
