DATAFLOW,LAST UPDATE,freq,unit,sex,startime,acl00,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Belgium,2000,0.15,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Belgium,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Bulgaria,2000,0.01,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Germany,2000,0.06,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Germany,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Estonia,2000,0.05,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Estonia,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Greece,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Spain,2000,0.08,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Spain,2010,0.1,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,France,2000,0.36,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,France,2010,0.4,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Italy,2000,0.02,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Italy,2010,0.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Lithuania,2000,0.04,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Eating,Latvia,2000,0.07,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Belgium,2000,97.16,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Belgium,2010,98.2,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Bulgaria,2000,98.54,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Germany,2000,97.89,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Germany,2010,97.7,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Estonia,2000,97.32,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Estonia,2010,97.7,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Greece,2010,99.2,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Spain,2000,96.78,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Spain,2010,97.5,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,France,2000,97.23,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,France,2010,96.6,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Italy,2000,98.67,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Italy,2010,99.0,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Lithuania,2000,98.53,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Personal care except eating,Latvia,2000,97.70,,
ESTAT:TUS_00STARTIME(1.0),24/04/18 23:00:00,Annual,Participation rate (%),Total,From 04:00 to 04:09,Work and study,Belgium,2000,1.04,,
